timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,1,9332,2884,2877,9074,8208,2879,8477,13831,13748,12477,,
3170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,2,9330,2884,2879,9076,8207,2879,8479,13828,13735,12476,,
4170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,3,9329,2884,2879,9077,8206,2879,8479,13825,13723,12476,,
5170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,4,9328,2884,2877,9079,8205,2879,8480,13822,13711,12475,,
6170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,5,9326,2884,2877,9080,8202,2879,8481,13818,13698,12474,,
7171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,6,9325,2884,2879,9082,8200,2879,8481,13815,13686,12472,,
8170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,7,9324,2883,2877,9084,8199,2879,8482,13811,13672,12471,,
9170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,8,9322,2884,2876,9085,8196,2879,8482,13808,13659,12469,,
10170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,9,9321,2883,2877,9086,8193,2879,8482,13804,13645,12467,,
11170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,10,9319,2884,2877,9088,8191,2879,8481,13800,13631,12466,,
12170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,11,9318,2881,2877,9090,8188,2879,8482,13797,13617,12464,,
13170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,12,9316,2881,2877,9092,8186,2879,8482,13793,13603,12463,,
14171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,13,9314,2881,2876,9093,8183,2879,8482,13790,13589,12462,,
15170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,14,9312,2881,2876,9094,8180,2879,8483,13787,13575,12461,,
16171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,15,9310,2881,2877,9096,8178,2881,8484,13783,13562,12461,,
17170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,16,9308,2881,2876,9097,8176,2879,8484,13781,13548,12460,,
18170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,17,9306,2881,2876,9099,8174,2881,8486,13777,13535,12459,,
19170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,18,9303,2881,2876,9101,8173,2881,8487,13774,13522,12458,,
20170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,19,9302,2881,2879,9103,8172,2879,8488,13772,13508,12457,,
21170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,20,9300,2881,2879,9103,8170,2879,8488,13768,13495,12456,,
22170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,21,9299,2881,2879,9105,8168,2881,8489,13765,13482,12456,,
23171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,22,9298,2881,2879,9107,8166,2881,8491,13763,13469,12456,,
24170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,23,9297,2881,2879,9108,8165,2879,8492,13760,13456,12455,,
25170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,24,9296,2879,2879,9110,8163,2879,8493,13757,13443,12454,,
26170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,25,9294,2881,2879,9111,8162,2881,8494,13754,13430,12454,,
27170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,26,9292,2879,2876,9113,8161,2881,8495,13752,13417,12454,,
28170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,27,9292,2881,2879,9114,8160,2878,8496,13749,13404,12454,,
29170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,28,9290,2881,2879,9115,8159,2881,8498,13747,13391,12453,,
30171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,29,9288,2883,2879,9117,8158,2879,8500,13744,13379,12453,,
31170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,30,9286,2881,2879,9119,8158,2881,8501,13741,13366,12452,,
32171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,31,9285,2881,2879,9120,8157,2881,8502,13739,13354,12452,,
33170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,32,9283,2881,2876,9121,8155,2881,8503,13735,13341,12451,,
34170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,33,9282,2879,2879,9124,8154,2881,8504,13732,13328,12450,,
35170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,34,9280,2879,2879,9125,8154,2878,8505,13730,13315,12450,,
36170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,35,9280,2883,2879,9126,8152,2881,8507,13727,13303,12449,,
37170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,36,9278,2883,2876,9127,8151,2881,8507,13724,13290,12448,,
38170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,37,9276,2879,2879,9129,8150,2881,8508,13721,13277,12447,,
39171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,38,9276,2881,2876,9130,8149,2883,8508,13718,13264,12446,,
40170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,39,9276,2883,2876,9132,8147,2881,8509,13715,13251,12445,,
41170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,40,9276,2879,2876,9133,8146,2883,8509,13712,13237,12444,,
42170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,41,9276,2883,2879,9135,8145,2878,8510,13709,13224,12442,,
43170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,42,9275,2883,2876,9137,8143,2878,8509,13706,13211,12441,,
44170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,43,9274,2881,2876,9138,8141,2878,8510,13702,13197,12441,,
45170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,44,9272,2881,2876,9139,8139,2883,8511,13700,13184,12440,,
46171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,45,9271,2881,2876,9140,8138,2880,8511,13697,13170,12438,,
47170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,46,9270,2881,2876,9141,8135,2883,8512,13694,13157,12437,,
48171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,47,9268,2883,2874,9143,8133,2880,8512,13690,13143,12436,,
49170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,48,9266,2881,2876,9145,8132,2880,8512,13687,13129,12435,,
50170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,49,9266,2881,2876,9146,8130,2878,8512,13684,13116,12434,,
51170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,50,9264,2883,2876,9147,8128,2880,8513,13681,13101,12432,,
52170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,51,9263,2881,2876,9149,8126,2880,8513,13678,13088,12432,,
53170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,52,9263,2881,2878,9150,8125,2880,8514,13675,13074,12432,,
54170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,53,9261,2883,2876,9150,8124,2880,8515,13673,13061,12431,,
55171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,54,9260,2881,2876,9153,8123,2880,8516,13670,13048,12431,,
56170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,55,9259,2881,2874,9154,8122,2880,8518,13668,13034,12431,,
57170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,56,9257,2881,2876,9155,8121,2880,8519,13665,13022,12431,,
58170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,57,9256,2881,2878,9156,8120,2880,8520,13663,13008,12430,,
59170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,58,9255,2881,2874,9157,8119,2880,8520,13660,12996,12430,,
60170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,59,9254,2881,2876,9159,8119,2880,8522,13658,12982,12431,,
61170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,60,9252,2881,2874,9160,8119,2880,8524,13656,12969,12432,,
62171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,61,9251,2883,2876,9161,8119,2880,8526,13655,12958,12432,,
63170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,62,9249,2883,2878,9163,8119,2880,8528,13652,12945,12431,,
64171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,63,9248,2881,2874,9164,8119,2880,8529,13650,12933,12432,,
65170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,64,9248,2883,2876,9165,8119,2880,8531,13648,12921,12431,,
66170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,65,9246,2881,2874,9166,8118,2880,8532,13646,12907,12432,,
67170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,66,9245,2883,2878,9167,8117,2878,8534,13644,12895,12433,,
68170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,67,9244,2883,2878,9169,8118,2878,8535,13642,12883,12433,,
69170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,68,9243,2883,2878,9170,8117,2878,8537,13640,12870,12433,,
70170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,69,9241,2883,2878,9171,8118,2878,8539,13638,12858,12434,,
71171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,70,9240,2883,2878,9173,8118,2880,8541,13637,12846,12435,,
72170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,71,9238,2883,2876,9174,8118,2878,8543,13634,12834,12436,,
73170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,72,9237,2883,2878,9176,8119,2878,8546,13633,12822,12437,,
74170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,73,9235,2883,2876,9177,8119,2878,8548,13632,12810,12437,,
75170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,74,9233,2883,2876,9178,8121,2880,8550,13630,12798,12438,,
76170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,75,9232,2883,2876,9179,8121,2878,8552,13628,12787,12438,,
77170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,76,9231,2881,2878,9180,8122,2878,8553,13626,12774,12438,,
78171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,77,9230,2880,2876,9182,8121,2878,8554,13624,12762,12438,,
79170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,78,9229,2883,2876,9183,8121,2878,8556,13622,12750,12438,,
80171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,79,9228,2880,2876,9184,8121,2880,8556,13619,12737,12437,,
81170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,80,9227,2883,2876,9186,8120,2878,8557,13616,12725,12436,,
82170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,81,9225,2880,2876,9187,8120,2878,8557,13614,12712,12436,,
83170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,82,9223,2881,2874,9188,8119,2878,8558,13610,12699,12435,,
84170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,83,9222,2880,2876,9189,8117,2880,8558,13608,12686,12434,,
85170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,84,9221,2881,2876,9190,8116,2880,8559,13605,12673,12434,,
86170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,85,9220,2881,2878,9191,8115,2878,8559,13602,12660,12433,,
87171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,86,9220,2881,2876,9193,8115,2880,8560,13599,12647,12433,,
88170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,87,9218,2880,2876,9194,8114,2880,8560,13598,12634,12433,,
89170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,88,9217,2878,2876,9195,8113,2878,8561,13595,12620,12432,,
90170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,89,9216,2881,2876,9197,8113,2880,8561,13592,12607,12432,,
91170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,90,9215,2881,2876,9198,8112,2880,8562,13590,12595,12432,,
92170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,91,9214,2880,2878,9199,8112,2880,8564,13588,12581,12432,,
93170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,92,9212,2880,2878,9201,8111,2880,8564,13585,12569,12431,,
94171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,93,9212,2880,2876,9202,8111,2878,8565,13583,12555,12431,,
95170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,94,9211,2878,2878,9203,8110,2880,8565,13581,12543,12430,,
96171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,95,9210,2880,2878,9203,8109,2880,8566,13578,12530,12430,,
97170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,96,9209,2878,2878,9205,8108,2880,8567,13575,12517,12430,,
98170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,97,9208,2878,2878,9206,8108,2880,8567,13573,12504,12429,,
99170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,98,9206,2880,2878,9207,8107,2880,8567,13571,12490,12427,,
100170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,99,9206,2878,2878,9208,8105,2882,8567,13567,12477,12425,,
101170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,100,9205,2883,2876,9209,8103,2880,8565,13563,12463,12422,,
102170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,101,9204,2878,2876,9210,8101,2880,8564,13559,12449,12420,,
103171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,102,9204,2883,2878,9211,8099,2880,8563,13555,12434,12418,,
104170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,103,9204,2880,2878,9212,8097,2880,8561,13552,12420,12416,,
105170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,104,9204,2883,2876,9214,8094,2880,8559,13548,12405,12412,,
106170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,105,9204,2880,2876,9215,8090,2882,8557,13543,12390,12406,,
107170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,106,9204,2880,2878,9215,8086,2878,8553,13537,12374,12403,,
108170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,107,9204,2878,2878,9217,8082,2880,8551,13533,12357,12401,,
109170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,108,9204,2880,2876,9217,8079,2878,8549,13529,12341,12399,,
110171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,109,9204,2880,2876,9219,8075,2878,8548,13526,12326,12398,,
111170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,110,9204,2883,2876,9220,8073,2878,8547,13523,12311,12397,,
112171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,111,9204,2880,2873,9221,8071,2882,8547,13521,12295,12396,,
113170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,112,9203,2883,2876,9222,8069,2882,8548,13517,12280,12394,,
114170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,113,9202,2880,2876,9223,8066,2880,8547,13515,12266,12393,,
115170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,114,9202,2880,2876,9224,8064,2882,8547,13512,12252,12391,,
116170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,115,9202,2880,2876,9225,8062,2880,8546,13509,12237,12390,,
117170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,116,9201,2882,2876,9226,8060,2880,8546,13506,12222,12388,,
118170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,117,9202,2883,2876,9227,8058,2882,8545,13503,12207,12386,,
119171,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,118,9202,2880,2878,9228,8056,2882,8544,13500,12192,12385,,
120170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,119,9202,2880,2873,9229,8054,2880,8545,13498,12178,12385,,
121170,L-GAY,light,Arabika Gayo Aceh,B09,1,purging,120,9202,2880,2876,9230,8054,2878,8546,13496,12165,12389,,
122173,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,1,9202,2883,2873,9231,8054,2880,8549,13496,12152,12388,,
123170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,2,9202,2883,2873,9232,8053,2880,8550,13494,12139,12385,,
124170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,3,9202,2880,2876,9233,8053,2882,8550,13492,12126,12386,,
125170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,4,9210,2880,2876,9234,8061,2880,8559,13492,12114,12419,,
126171,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,5,9478,2880,2876,9236,8143,2880,8639,13543,12139,12554,,
127170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,6,10297,2885,2875,9238,8331,2880,8803,13714,12285,12771,,
128171,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,7,11414,2885,2876,9240,8580,2880,8997,13983,12573,13024,,
129170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,8,12506,2883,2875,9243,8829,2884,9178,14310,12963,13268,,
130170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,9,13400,2887,2873,9245,9035,2882,9310,14628,13389,13481,,
131170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,10,14091,2892,2873,9247,9205,2882,9404,14914,13793,13677,,
132170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,11,14624,2891,2878,9249,9337,2884,9469,15169,14154,13833,,
133170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,12,15006,2889,2873,9250,9429,2882,9504,15373,14454,13953,,
134170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,13,15284,2891,2873,9251,9494,2884,9520,15530,14688,14053,,
135171,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,14,15490,2892,2875,9253,9543,2882,9528,15655,14870,14132,,
136170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,15,15638,2891,2878,9254,9572,2882,9523,15752,15009,14187,,
137170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,16,15736,2891,2878,9255,9584,2882,9506,15820,15107,14223,,
138170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,17,15793,2891,2875,9256,9581,2882,9480,15864,15171,14243,,
139170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,18,15818,2891,2875,9256,9564,2882,9448,15889,15204,14250,,
140170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,19,15816,2891,2875,9257,9538,2882,9411,15899,15212,14244,,
141170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,20,15793,2891,2875,9258,9505,2882,9372,15894,15200,14232,,
142171,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,21,15754,2891,2875,9258,9467,2882,9335,15882,15173,14216,,
143170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,22,15704,2891,2875,9259,9430,2882,9300,15865,15135,14200,,
144171,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,23,15648,2893,2873,9259,9392,2882,9268,15846,15090,14181,,
145170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,24,15589,2891,2875,9260,9355,2882,9239,15826,15043,14163,,
146170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,25,15528,2889,2875,9261,9321,2882,9214,15807,14993,14146,,
147170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,26,15465,2889,2878,9261,9287,2882,9189,15787,14942,14126,,
148170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,27,15400,2889,2875,9262,9253,2882,9165,15767,14890,14105,,
149170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,28,15332,2887,2878,9262,9219,2882,9141,15744,14836,14085,,
150170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,29,15266,2889,2875,9263,9189,2880,9121,15723,14782,14068,,
151171,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,30,15204,2887,2878,9264,9161,2877,9105,15704,14730,14053,,
152170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,31,15147,2889,2875,9264,9136,2882,9091,15688,14682,14038,,
153170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,32,15094,2889,2875,9265,9113,2882,9078,15674,14636,14025,,
154170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,33,15046,2887,2875,9266,9094,2882,9067,15663,14593,14014,,
155170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,34,15003,2889,2875,9267,9076,2877,9057,15653,14554,14004,,
156170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,35,14965,2889,2878,9267,9058,2882,9047,15644,14516,13993,,
157170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,36,14925,2889,2873,9267,9040,2878,9037,15633,14480,13980,,
158171,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,37,14884,2887,2875,9268,9021,2879,9025,15621,14443,13966,,
159170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,38,14840,2887,2873,9269,9002,2877,9013,15607,14404,13952,,
160171,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,39,14797,2887,2875,9269,8984,2879,9001,15593,14366,13939,,
161170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,40,14756,2887,2873,9270,8966,2880,8991,15581,14329,13927,,
162170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,41,14714,2887,2877,9271,8949,2880,8981,15568,14292,13913,,
163170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,42,14673,2889,2875,9271,8933,2879,8972,15554,14256,13901,,
164170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,43,14634,2887,2877,9272,8918,2877,8964,15542,14221,13890,,
165170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,44,14597,2891,2875,9273,8905,2879,8957,15531,14187,13878,,
166170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,45,14562,2891,2877,9274,8893,2879,8952,15521,14155,13870,,
167171,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,46,14535,2891,2877,9275,8883,2877,8949,15514,14125,13864,,
168170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,47,14509,2891,2877,9276,8874,2879,8945,15508,14099,13856,,
169170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,48,14483,2891,2877,9276,8864,2875,8940,15500,14073,13848,,
170170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,49,14458,2887,2875,9277,8856,2879,8937,15492,14047,13841,,
171170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,50,14437,2887,2877,9277,8847,2876,8933,15487,14024,13836,,
172170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,51,14415,2891,2875,9278,8840,2874,8929,15480,14001,13829,,
173170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,52,14394,2891,2877,9279,8833,2877,8926,15475,13980,13824,,
174171,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,53,14377,2887,2877,9280,8827,2879,8925,15471,13959,13819,,
175170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,54,14364,2887,2875,9281,8823,2879,8924,15467,13941,13816,,
176171,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,55,14353,2891,2877,9281,8818,2875,8923,15465,13925,13811,,
177170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,56,14340,2887,2875,9282,8812,2877,8920,15461,13908,13805,,
178170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,57,14324,2891,2877,9283,8805,2873,8915,15456,13890,13798,,
179170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,58,14306,2889,2877,9283,8798,2874,8912,15449,13871,13793,,
180170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,59,14293,2891,2875,9284,8793,2875,8910,15445,13852,13790,,
181170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,60,14284,2889,2875,9285,8789,2877,8909,15442,13836,13786,,
182170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,61,14274,2889,2875,9286,8784,2879,8907,15440,13821,13781,,
183171,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,62,14261,2889,2875,9286,8777,2873,8903,15436,13805,13775,,
184170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,63,14247,2889,2877,9287,8772,2875,8900,15431,13788,13771,,
185170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,64,14235,2891,2877,9287,8767,2874,8898,15428,13772,13768,,
186170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,65,14224,2889,2875,9288,8762,2877,8896,15424,13757,13763,,
187170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,66,14207,2889,2875,9289,8757,2874,8893,15419,13740,13757,,
188170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,67,14189,2891,2875,9290,8751,2875,8890,15414,13723,13752,,
189170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,68,14172,2889,2877,9291,8746,2875,8889,15409,13706,13748,,
190171,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,69,14160,2889,2875,9291,8743,2874,8889,15405,13690,13746,,
191170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,70,14153,2889,2875,9292,8741,2874,8890,15405,13677,13745,,
192171,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,71,14151,2887,2875,9293,8741,2876,8893,15405,13667,13745,,
193170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,72,14151,2887,2875,9293,8740,2874,8894,15406,13659,13744,,
194170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,73,14149,2891,2875,9293,8738,2871,8893,15406,13650,13742,,
195170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,74,14146,2887,2875,9295,8736,2873,8892,15405,13640,13739,,
196170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,75,14141,2889,2875,9295,8733,2874,8890,15403,13630,13736,,
197170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,76,14137,2889,2875,9296,8730,2874,8889,15401,13619,13733,,
198170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,77,14131,2891,2873,9297,8726,2873,8887,15399,13608,13729,,
199171,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,78,14126,2891,2875,9297,8723,2874,8884,15396,13597,13726,,
200170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,79,14120,2891,2875,9298,8720,2872,8882,15393,13585,13722,,
201170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,80,14112,2887,2875,9298,8715,2873,8879,15390,13573,13718,,
202170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,81,14102,2889,2873,9299,8709,2871,8875,15385,13560,13712,,
203170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,82,14090,2889,2875,9300,8703,2873,8871,15381,13546,13706,,
204170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,83,14074,2891,2875,9300,8694,2871,8866,15374,13531,13698,,
205170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,84,14053,2889,2877,9301,8686,2873,8861,15366,13512,13690,,
206171,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,85,14031,2887,2875,9302,8678,2871,8856,15358,13493,13683,,
207170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,86,14010,2889,2877,9303,8671,2874,8852,15350,13474,13676,,
208171,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,87,13991,2891,2873,9303,8665,2873,8849,15343,13456,13672,,
209170,L-GAY,light,Arabika Gayo Aceh,B09,1,collecting,88,13976,2891,2873,9304,8661,2868,8848,15339,13440,13667,,
