timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2181,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,1,9452,2816,2810,8276,7566,2790,8585,12683,9786,12182,,
3180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,2,9451,2816,2811,8275,7570,2790,8589,12683,9790,12184,,
4180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,3,9449,2820,2813,8274,7572,2788,8591,12684,9794,12185,,
5180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,4,9448,2816,2812,8273,7574,2788,8592,12683,9797,12185,,
6180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,5,9447,2816,2812,8272,7576,2788,8593,12681,9800,12185,,
7180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,6,9447,2816,2808,8271,7577,2788,8593,12680,9802,12186,,
8180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,7,9445,2818,2809,8270,7578,2788,8593,12680,9804,12188,,
9180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,8,9444,2816,2811,8269,7580,2788,8594,12679,9807,12189,,
10180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,9,9443,2819,2808,8268,7580,2789,8595,12679,9808,12189,,
11181,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,10,9442,2818,2809,8267,7580,2787,8595,12678,9810,12190,,
12180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,11,9441,2819,2812,8266,7581,2786,8596,12678,9811,12191,,
13180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,12,9440,2817,2806,8265,7581,2791,8595,12677,9813,12192,,
14180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,13,9441,2816,2809,8265,7582,2788,8595,12676,9814,12192,,
15180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,14,9441,2817,2806,8263,7583,2789,8595,12675,9816,12191,,
16180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,15,9443,2816,2813,8262,7585,2791,8596,12675,9818,12195,,
17180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,16,9446,2816,2807,8262,7588,2788,8598,12676,9822,12200,,
18181,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,17,9448,2818,2808,8261,7591,2788,8601,12679,9826,12206,,
19180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,18,9447,2815,2808,8260,7595,2788,8605,12681,9831,12208,,
20180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,19,9445,2820,2808,8259,7597,2788,8608,12683,9834,12209,,
21180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,20,9444,2815,2806,8258,7599,2787,8611,12682,9836,12210,,
22180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,21,9441,2815,2806,8258,7601,2788,8613,12682,9839,12213,,
23180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,22,9439,2818,2807,8257,7603,2791,8615,12683,9841,12217,,
24180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,23,9436,2818,2808,8256,7604,2788,8619,12684,9843,12219,,
25180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,24,9432,2818,2811,8255,7607,2788,8622,12684,9845,12221,,
26180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,25,9430,2817,2806,8254,7611,2792,8624,12684,9848,12223,,
27181,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,26,9427,2815,2807,8254,7615,2788,8627,12684,9852,12227,,
28180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,27,9425,2815,2805,8253,7620,2788,8630,12686,9857,12231,,
29180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,28,9421,2818,2805,8252,7625,2788,8634,12688,9862,12236,,
30180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,29,9418,2818,2808,8252,7628,2787,8639,12690,9867,12243,,
31180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,30,9414,2818,2808,8251,7633,2788,8645,12693,9871,12249,,
32180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,31,9409,2817,2807,8250,7637,2788,8651,12697,9874,12255,,
33180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,32,9404,2817,2805,8250,7641,2787,8657,12699,9877,12259,,
34181,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,33,9399,2818,2806,8249,7646,2786,8662,12700,9881,12262,,
35180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,34,9395,2816,2809,8248,7650,2787,8666,12702,9884,12265,,
36180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,35,9392,2815,2806,8247,7653,2787,8670,12702,9887,12267,,
37180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,36,9389,2813,2810,8246,7657,2788,8673,12702,9891,12269,,
38180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,37,9387,2813,2805,8245,7660,2786,8676,12702,9894,12271,,
39180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,38,9385,2816,2810,8245,7663,2787,8678,12702,9897,12273,,
40180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,39,9383,2814,2804,8244,7666,2786,8680,12702,9900,12276,,
41180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,40,9380,2814,2808,8243,7669,2788,8682,12701,9904,12277,,
42180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,41,9378,2815,2809,8243,7672,2788,8684,12701,9907,12279,,
43181,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,42,9377,2815,2806,8242,7676,2788,8686,12701,9912,12282,,
44180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,43,9375,2813,2807,8242,7678,2787,8688,12701,9916,12284,,
45180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,44,9373,2814,2808,8241,7680,2787,8688,12699,9920,12285,,
46180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,45,9372,2817,2806,8241,7683,2787,8689,12699,9923,12287,,
47180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,46,9371,2815,2806,8240,7686,2786,8691,12699,9928,12289,,
48180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,47,9370,2816,2808,8240,7689,2786,8692,12699,9931,12290,,
49180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,48,9369,2815,2807,8239,7691,2786,8693,12698,9935,12292,,
50181,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,49,9369,2814,2806,8238,7693,2787,8694,12698,9940,12294,,
51180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,50,9367,2816,2809,8238,7695,2787,8695,12698,9944,12295,,
52180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,51,9366,2814,2806,8238,7696,2787,8696,12697,9947,12297,,
53180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,52,9365,2818,2805,8237,7697,2785,8697,12697,9949,12298,,
54180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,53,9364,2813,2806,8236,7698,2790,8697,12696,9952,12299,,
55180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,54,9362,2817,2806,8235,7698,2787,8698,12696,9953,12300,,
56180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,55,9361,2815,2806,8235,7699,2787,8698,12695,9954,12301,,
57180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,56,9360,2813,2808,8234,7700,2785,8699,12695,9956,12302,,
58180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,57,9360,2817,2805,8233,7700,2786,8701,12695,9958,12304,,
59181,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,58,9359,2814,2807,8233,7702,2786,8702,12695,9960,12306,,
60180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,59,9358,2820,2806,8232,7704,2785,8704,12695,9963,12307,,
61180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,60,9358,2815,2807,8232,7706,2788,8705,12695,9967,12308,,
62180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,61,9357,2817,2808,8231,7707,2787,8705,12694,9968,12309,,
63180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,62,9357,2816,2806,8230,7709,2786,8706,12693,9971,12310,,
64180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,63,9357,2814,2807,8229,7710,2785,8706,12692,9973,12311,,
65180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,64,9357,2815,2805,8228,7710,2788,8707,12692,9976,12312,,
66181,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,65,9357,2816,2807,8228,7711,2787,8707,12691,9978,12312,,
67180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,66,9357,2813,2805,8227,7711,2786,8707,12690,9979,12313,,
68180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,67,9356,2817,2805,8227,7711,2787,8706,12689,9980,12313,,
69180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,68,9355,2815,2810,8226,7711,2789,8706,12689,9981,12313,,
70180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,69,9355,2814,2807,8226,7710,2785,8705,12687,9981,12312,,
71180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,70,9355,2814,2804,8225,7709,2785,8705,12686,9982,12312,,
72180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,71,9354,2813,2807,8224,7709,2785,8704,12684,9983,12312,,
73180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,72,9354,2813,2808,8224,7709,2787,8703,12683,9984,12311,,
74180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,73,9355,2813,2805,8223,7709,2785,8702,12682,9984,12311,,
75181,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,74,9355,2815,2805,8222,7708,2786,8702,12680,9985,12311,,
76180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,75,9355,2815,2805,8222,7707,2787,8701,12679,9986,12311,,
77180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,76,9356,2814,2807,8220,7707,2784,8700,12679,9987,12311,,
78180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,77,9357,2813,2809,8220,7706,2785,8700,12678,9987,12311,,
79180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,78,9356,2814,2807,8219,7706,2787,8700,12677,9988,12311,,
80180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,79,9357,2814,2806,8219,7707,2785,8700,12676,9989,12311,,
81180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,80,9356,2812,2806,8218,7707,2785,8700,12675,9990,12312,,
82181,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,81,9355,2816,2808,8217,7707,2784,8701,12675,9990,12313,,
83180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,82,9354,2814,2808,8217,7707,2787,8702,12674,9992,12313,,
84180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,83,9354,2814,2805,8216,7708,2785,8702,12674,9993,12314,,
85180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,84,9353,2813,2808,8215,7708,2788,8703,12674,9994,12314,,
86180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,85,9353,2814,2806,8215,7708,2785,8704,12673,9995,12314,,
87180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,86,9352,2814,2806,8214,7709,2789,8703,12672,9995,12315,,
88180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,87,9352,2814,2804,8213,7709,2787,8704,12671,9997,12316,,
89180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,88,9352,2815,2806,8213,7709,2785,8704,12671,9998,12317,,
90180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,89,9351,2818,2807,8212,7710,2785,8705,12671,9999,12318,,
91181,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,90,9351,2813,2804,8211,7711,2785,8706,12671,10001,12319,,
92180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,91,9351,2814,2806,8211,7714,2786,8708,12671,10003,12321,,
93180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,92,9350,2813,2806,8211,7716,2785,8710,12671,10005,12323,,
94180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,93,9350,2817,2807,8210,7717,2785,8711,12671,10008,12324,,
95180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,94,9349,2813,2806,8209,7718,2787,8712,12671,10010,12326,,
96180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,95,9348,2815,2806,8209,7719,2787,8714,12671,10012,12327,,
97180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,96,9347,2814,2805,8208,7720,2787,8715,12671,10013,12328,,
98181,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,97,9346,2817,2807,8207,7721,2788,8717,12670,10015,12329,,
99180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,98,9345,2817,2807,8206,7722,2784,8717,12670,10016,12330,,
100180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,99,9344,2815,2809,8206,7723,2785,8718,12669,10017,12331,,
101180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,100,9343,2812,2805,8205,7724,2786,8719,12669,10018,12332,,
102180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,101,9342,2815,2804,8205,7725,2785,8720,12669,10019,12333,,
103180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,102,9341,2814,2805,8204,7725,2788,8721,12669,10021,12334,,
104180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,103,9340,2816,2805,8203,7726,2785,8722,12669,10022,12334,,
105180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,104,9339,2815,2804,8203,7727,2786,8722,12669,10024,12335,,
106180,D-RAT,dark,Arabika Ratawali Aceh,B9,1,purging,105,9339,2812,2803,8202,7728,2785,8723,12668,10025,12335,,
